Country,Region,Population,GDP ($ per capita),Literacy (%),Climate
Turkmenistan ,C.W. OF IND. STATES ,5042920,5800.0,98.0,1.0
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,9600.0,98.0,2.0
Tuvalu ,OCEANIA                            ,11810,1100.0,,2.0
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,1400.0,69.9,2.0
Ukraine ,C.W. OF IND. STATES ,46710816,5400.0,99.7,3.0
United Arab Emirates ,NEAR EAST                          ,2602713,23200.0,77.9,1.0
United Kingdom ,WESTERN EUROPE                     ,60609153,27700.0,99.0,3.0
United States ,NORTHERN AMERICA                   ,298444215,37800.0,97.0,3.0
Uruguay ,LATIN AMER. & CARIB    ,3431932,12800.0,98.0,3.0
Uzbekistan ,C.W. OF IND. STATES ,27307134,1700.0,99.3,1.0
Vanuatu ,OCEANIA                            ,208869,2900.0,53.0,2.0
Venezuela ,LATIN AMER. & CARIB    ,25730435,4800.0,93.4,2.0
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,2500.0,90.3,2.0
Virgin Islands ,LATIN AMER. & CARIB    ,108605,17200.0,,2.0
Wallis and Futuna ,OCEANIA                            ,16025,3700.0,50.0,2.0
West Bank ,NEAR EAST                          ,2460492,800.0,,3.0
Western Sahara ,NORTHERN AFRICA                    ,273008,,,1.0
Yemen ,NEAR EAST                          ,21456188,800.0,50.2,1.0
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,800.0,80.6,2.0
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,1900.0,90.7,2.0
